Date,Sunrise,Sunset
02/06/2018,05:02,21:43
03/06/2018,05:02,21:44
04/06/2018,05:01,21:45
05/06/2018,05:00,21:47
06/06/2018,05:00,21:48
07/06/2018,04:59,21:48
08/06/2018,04:58,21:49
09/06/2018,04:58,21:50
10/06/2018,04:57,21:51
11/06/2018,04:57,21:52
12/06/2018,04:57,21:52
13/06/2018,04:56,21:53
14/06/2018,04:56,21:54
15/06/2018,04:56,21:54
16/06/2018,04:56,21:55
17/06/2018,04:56,21:55
18/06/2018,04:56,21:56
19/06/2018,04:56,21:56
20/06/2018,04:56,21:56
21/06/2018,04:56,21:56
22/06/2018,04:57,21:57
23/06/2018,04:57,21:57
24/06/2018,04:57,21:57
25/06/2018,04:58,21:57
26/06/2018,04:58,21:57
27/06/2018,04:58,21:57
28/06/2018,04:59,21:56
29/06/2018,05:00,21:56
30/06/2018,05:00,21:56
01/07/2018,05:01,21:55
02/07/2018,05:02,21:55
03/07/2018,05:03,21:55
04/07/2018,05:03,21:54
05/07/2018,05:04,21:54
06/07/2018,05:05,21:53
07/07/2018,05:06,21:52
08/07/2018,05:07,21:51
09/07/2018,05:08,21:51
10/07/2018,05:09,21:50
11/07/2018,05:10,21:49
12/07/2018,05:12,21:48
13/07/2018,05:13,21:47
14/07/2018,05:14,21:46
15/07/2018,05:15,21:45
16/07/2018,05:17,21:44
17/07/2018,05:18,21:43
18/07/2018,05:19,21:41
19/07/2018,05:21,21:40
20/07/2018,05:22,21:39
21/07/2018,05:24,21:37
22/07/2018,05:25,21:36
23/07/2018,05:27,21:35
24/07/2018,05:28,21:33
25/07/2018,05:30,21:32
26/07/2018,05:31,21:30
27/07/2018,05:33,21:28
28/07/2018,05:34,21:27
29/07/2018,05:36,21:25
30/07/2018,05:37,21:24
31/07/2018,05:39,21:22
01/08/2018,05.41,21.20
02/08/2018,05:42,21:18
03/08/2018,05:44,21:16
04/08/2018,05:46,21:15
05/08/2018,05:47,21:13
06/08/2018,05:49,21:11
07/08/2018,05:51,21:09
08/08/2018,05:52,21:07
09/08/2018,05:54,21:05
10/08/2018,05:56,21:03
11/08/2018,05:57,21:01
12/08/2018,05:59,20:59
13/08/2018,06:01,20:57
14/08/2018,06:03,20:55
15/08/2018,06:04,20:53
16/08/2018,06:06,20:50
17/08/2018,06:08,20:48
18/08/2018,06:10,20:46
19/08/2018,06:11,20:44
20/08/2018,06:13,20:42
21/08/2018,06:15,20:40
22/08/2018,06:16,20:37
23/08/2018,06:18,20:35
24/08/2018,06:20,20:33
25/08/2018,06:22,20:30
26/08/2018,06:23,20:28
27/08/2018,06:25,20:26
28/08/2018,06:27,20:24
29/08/2018,06:29,20:21
30/08/2018,06:30,20:19
31/08/2018,06:32,20:17
01/09/2018,06:34,20:14
02/09/2018,06:35,20:12
03/09/2018,06:37,20:09
04/09/2018,06:39,20:07
05/09/2018,06:41,20:05
06/09/2018,06:42,20:02
07/09/2018,06:44,20:00
08/09/2018,06:46,19:57
09/09/2018,06:48,19:55
10/09/2018,06:49,19:53  
11/09/2018,06:51,19:50
12/09/2018,06:53,19:48
13/09/2018,06:55,19:45
14/09/2018,06:56,19:43
15/09/2018,06:58,19:40
16/09/2018,07:00,19:38
17/09/2018,07:01,19:36
18/09/2018,07:03,19:33
19/09/2018,07:05,19:31
20/09/2018,07:07,19:28
21/09/2018,07:08,19:26
22/09/2018,07:10,19:23
23/09/2018,07:12,19:21
24/09/2018,07:14,19:19
25/09/2018,07:15,19:16
26/09/2018,07:17,19:14
27/09/2018,07:19,19:11
28/09/2018,07:21,19:09
29/09/2018,07:22,19:06
30/09/2018,07:24,19:04
01/10/2018,07:26,19:02
02/10/2018,07:28,18:59
03/10/2018,07:29,18:57
04/10/2018,07:31,18:54
05/10/2018,07:33,18:52
06/10/2018,07:35,18:50
07/10/2018,07:37,18:47
08/10/2018,07:38,18:45
09/10/2018,07:40,18:43
10/10/2018,07:42,18:40
11/10/2018,07:44,18:38
12/10/2018,07:46,18:36
13/10/2018,07:47,18:33
14/10/2018,07:49,18:31
15/10/2018,07:51,18:29
16/10/2018,07:53,18:26
17/10/2018,07:55,18:24
18/10/2018,07:57,18:22
19/10/2018,07:59,18:20
20/10/2018,08:00,18:17
21/10/2018,08:02,18:15
22/10/2018,08:04,18:13
23/10/2018,08:06,18:11
24/10/2018,08:08,18:09
25/10/2018,08:10,18:07
26/10/2018,08:12,18:05
27/10/2018,08:14,18:03
28/10/2018,07:15,17:01
29/10/2018,07:17,16:58 
30/10/2018,07:19,16:56
31/10/2018,07:21,16:54
01/11/2018,07:23,16:53
02/11/2018,07:25,16:51
03/11/2018,07:27,16:49 
04/11/2018,07:29,16:47 
05/11/2018,07:31,16:45
06/11/2018,07:32,16:43
07/11/2018,07:34,16:41
08/11/2018,07:36,16:40
09/11/2018,07:38,16:38
10/11/2018,07:40,16:36
11/11/2018,07:42,16:35
12/11/2018,07:44,16:33
13/11/2018,07:46,16:31
14/11/2018,07:48,16:30
15/11/2018,07:49,16:28
16/11/2018,07:51,16:27
17/11/2018,07:53,16:25
18/11/2018,07:55,16:24
19/11/2018,07:57,16:23
20/11/2018,07:58,16:21
21/11/2018,08:00,16:20
22/11/2018,08:02,16:19
23/11/2018,08:04,16:18
24/11/2018,08:05,16:17
25/11/2018,08:07,16:16
26/11/2018,08:09,16:15
27/11/2018,08:10,16:14
28/11/2018,08:12,16:13
29/11/2018,08:13,16:12
30/11/2018,08:15,16:11
01/12/2018,08:17,16:10
02/12/2018,08:18,16:10
03/12/2018,08:19,16:09
04/12/2018,08:21,16:08
05/12/2018,08:22,16:08
06/12/2018,08:24,16:07
07/12/2018,08:25,16:07
08/12/2018,08:26,16:07
09/12/2018,08:27,16:06
10/12/2018,08:28,16:06
11/12/2018,08:30,16:06
12/12/2018,08:31,16:06
13/12/2018,08:32,16:06
14/12/2018,08:33,16:06
15/12/2018,08:33,16:06
16/12/2018,08:34,16:06
17/12/2018,08:35,16:06
18/12/2018,08:36,16:06
19/12/2018,08:36,16:07
20/12/2018,08:37,16:07
21/12/2018,08:38,16:08
22/12/2018,08:38,16:08
23/12/2018,08:39,16:09
24/12/2018,08:39,16:09
25/12/2018,08:39,16:10
26/12/2018,08:40,16:11
27/12/2018,08:40,16:12
28/12/2018,08:40,16:12
29/12/2018,08:40,16:13
30/12/2018,08:40,16:14
31/12/2018,08:40,16:15
